Country,CountryID,1999-Tree,2000-Tree,2001-Tree,2002-Tree,2003-Tree,2004-Tree,2005-Tree,2006-Tree,2007-Tree,2008-Tree,2009-Tree,2010-Tree,2011-Tree,2012-Tree,2013-Tree,2014-Tree,1999-Cashew,2000-Cashew,2001-Cashew,2002-Cashew,2003-Cashew,2004-Cashew,2005-Cashew,2006-Cashew,2007-Cashew,2008-Cashew,2009-Cashew,2010-Cashew,2011-Cashew,2012-Cashew,2013-Cashew,2014-Cashew,1999-Prepared,2000-Prepared,2001-Prepared,2002-Prepared,2003-Prepared,2004-Prepared,2005-Prepared,2006-Prepared,2007-Prepared,2008-Prepared,2009-Prepared,2010-Prepared,2011-Prepared,2012-Prepared,2013-Prepared,2014-Prepared,1999-Ground,2000-Ground,2001-Ground,2002-Ground,2003-Ground,2004-Ground,2005-Ground,2006-Ground,2007-Ground,2008-Ground,2009-Ground,2010-Ground,2011-Ground,2012-Ground,2013-Ground,2014-Ground
Latvia,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest of world,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
